,,,,,,,,,,,
,Description,Item,Usage Count,"Purchase
Quantity",Unit Price,Subtotal,"Price(HKD)
[$]","Price(RMB)
[$]",Price(USD) [$],Link,Additional description
,Electrical Components,,,,,,,,,,
,ESP32-8048S043 Display Board,,1,1,$167.91,$167.91,$167.91,$145.00,$21.41,https://mobile.yangkeduo.com/goods1.html?ps=A4UVhwHh6D,
,IP5306 Power Module,,1,1,$1.68,$1.68,$1.68,$1.45,$0.21,https://item.taobao.com/item.htm?id=874907024042&spm=a312a.7700824.w4002-25606657328.10.675223c4I6zwHH&skuId=5709605800856,
,SS12D07 Slide Switch,,1,1,$0.95,$0.95,$0.95,$0.82,$0.12,https://item.taobao.com/item.htm?id=568771505825&skuId=6130758858583&spm=a312a.7700824.w4002-24706531953.9.3e616a4bDiLZb7,
,INA219 Sensor Module,,1,1,$4.59,$4.59,$4.59,$3.96,$0.58,https://item.taobao.com/item.htm?id=953659389861&spm=a312a.7700824.w4002-24706531953.15.3a1b6a4bUyniGC,
,605060 LiPo Battery,,1,1,$25.24,$25.24,$25.24,$21.80,$3.22,https://item.taobao.com/item.htm?id=578582658189&mi_id=0000albFY29CvdORrfkBXvlXPcGGE6wo_GAg6_B-nBIW6PE&spm=a21xtw.29978518.0.0&xxc=shop&skuId=3832117712703,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,Total,,$200.37,$173.03,$25.54,,
